,Time,Total Load,Power,Power Generation (MW),Net Load,Load Reduction %
78,2013-07-17 06:00:00,8063.308333333333,19477128.0,19.477128,8043.831205333333,0.2415525637222935
79,2013-07-17 07:00:00,8816.108333333335,16354630.0,16.35463,8799.753703333336,0.18550849628473634
80,2013-07-17 08:00:00,9470.491666666667,19291960.0,19.29196,9451.199706666666,0.20370600259226246
81,2013-07-17 09:00:00,9992.371428571429,25227620.0,25.22762,9967.143808571429,0.25246879762561725
82,2013-07-17 10:00:00,10371.633333333333,10225201.0,10.225201,10361.408132333334,0.09858814587223484
83,2013-07-17 11:00:00,10614.191666666668,5167518.0,5.167518,10609.024148666667,0.048684988572689235
84,2013-07-17 12:00:00,10690.991666666667,222755.02,0.222755015625,10690.768911651041,0.002083576739840941
85,2013-07-17 13:00:00,10711.191666666668,0.0,0.0,10711.191666666668,0.0
86,2013-07-17 14:00:00,10773.533333333331,1218438.6,1.218438625,10772.314894708332,0.011309554510126673
87,2013-07-17 15:00:00,10826.95,0.0,0.0,10826.95,0.0
88,2013-07-17 16:00:00,10835.15,0.0,0.0,10835.15,0.0
89,2013-07-17 17:00:00,10725.841666666665,0.0,0.0,10725.841666666665,0.0
90,2013-07-17 18:00:00,10507.016666666668,0.0,0.0,10507.016666666668,0.0
91,2013-07-17 19:00:00,10241.891666666668,0.0,0.0,10241.891666666668,0.0
92,2013-07-17 20:00:00,10050.6,0.0,0.0,10050.6,0.0
93,2013-07-17 21:00:00,10011.866666666667,4560915.0,4.560915,10007.305751666667,0.04555509129166722
94,2013-07-17 22:00:00,9709.591666666667,14383478.0,14.383478,9695.208188666667,0.14813679600326482
95,2013-07-17 23:00:00,9173.300000000001,22411784.0,22.411784,9150.888216000001,0.2443153935879127
96,2013-07-18 00:00:00,8589.699999999999,27050962.0,27.050962,8562.649038,0.3149232452821402
97,2013-07-18 01:00:00,8155.064285714286,37170110.0,37.170112,8117.894173714286,0.45579177180875335
98,2013-07-18 02:00:00,7840.775000000001,57190576.0,57.190576,7783.584424000001,0.7293995300209482
99,2013-07-18 03:00:00,7667.666666666665,49296788.0,49.296788,7618.3698786666655,0.6429177237751599
100,2013-07-18 04:00:00,7648.883333333331,47691612.0,47.691612,7601.191721333332,0.6235107782617507
101,2013-07-18 05:00:00,7797.850000000001,45339188.0,45.339188,7752.510812000001,0.5814319075129682
102,2013-07-18 06:00:00,8238.233333333334,60176130.0,60.176128,8178.0572053333335,0.7304494248362311
