Eastern Date Hour,Zone Name,DAM Forecast Load,GMT Start Hour
1/2/2019 22:00,NORTH,669,3
1/2/2019 22:00,WEST,1787,3
1/2/2019 23:00,CAPITL,1271,4
1/2/2019 23:00,CENTRL,1738,4
1/2/2019 23:00,DUNWOD,585,4
1/2/2019 23:00,GENESE,1049,4
1/2/2019 23:00,HUD VL,1019,4
1/2/2019 23:00,LONGIL,2078,4
1/2/2019 23:00,MHK VL,771,4
1/2/2019 23:00,MILLWD,298,4
1/2/2019 23:00,N.Y.C.,5302,4
1/2/2019 23:00,NORTH,653,4
1/2/2019 23:00,WEST,1686,4
1/3/2019 0:00,CAPITL,1175,5
1/3/2019 0:00,CENTRL,1631,5
1/3/2019 0:00,DUNWOD,519,5
1/3/2019 0:00,GENESE,981,5
1/3/2019 0:00,HUD VL,923,5
1/3/2019 0:00,LONGIL,1877,5
1/3/2019 0:00,MHK VL,719,5
1/3/2019 0:00,MILLWD,264,5
1/3/2019 0:00,N.Y.C.,4852,5
1/3/2019 0:00,NORTH,636,5
1/3/2019 0:00,WEST,1593,5
1/3/2019 1:00,CAPITL,1148,6
1/3/2019 1:00,CENTRL,1590,6
1/3/2019 1:00,DUNWOD,496,6
1/3/2019 1:00,GENESE,952,6
1/3/2019 1:00,HUD VL,891,6
1/3/2019 1:00,LONGIL,1795,6
1/3/2019 1:00,MHK VL,701,6
1/3/2019 1:00,MILLWD,252,6
1/3/2019 1:00,N.Y.C.,4639,6
1/3/2019 1:00,NORTH,629,6
1/3/2019 1:00,WEST,1555,6
1/3/2019 2:00,CAPITL,1136,7
1/3/2019 2:00,CENTRL,1566,7
1/3/2019 2:00,DUNWOD,487,7
1/3/2019 2:00,GENESE,938,7
1/3/2019 2:00,HUD VL,877,7
1/3/2019 2:00,LONGIL,1751,7
1/3/2019 2:00,MHK VL,694,7
1/3/2019 2:00,MILLWD,247,7
1/3/2019 2:00,N.Y.C.,4513,7
1/3/2019 2:00,NORTH,624,7
1/3/2019 2:00,WEST,1535,7
1/3/2019 3:00,CAPITL,1136,8
1/3/2019 3:00,CENTRL,1562,8
1/3/2019 3:00,DUNWOD,484,8
1/3/2019 3:00,GENESE,936,8
1/3/2019 3:00,HUD VL,875,8
1/3/2019 3:00,LONGIL,1737,8
1/3/2019 3:00,MHK VL,692,8
1/3/2019 3:00,MILLWD,245,8
1/3/2019 3:00,N.Y.C.,4458,8
1/3/2019 3:00,NORTH,624,8
1/3/2019 3:00,WEST,1528,8
1/3/2019 4:00,CAPITL,1156,9
1/3/2019 4:00,CENTRL,1591,9
1/3/2019 4:00,DUNWOD,492,9
1/3/2019 4:00,GENESE,954,9
1/3/2019 4:00,HUD VL,887,9
1/3/2019 4:00,LONGIL,1765,9
1/3/2019 4:00,MHK VL,707,9
1/3/2019 4:00,MILLWD,248,9
1/3/2019 4:00,N.Y.C.,4484,9
1/3/2019 4:00,NORTH,630,9
1/3/2019 4:00,WEST,1547,9
1/3/2019 5:00,CAPITL,1220,10
1/3/2019 5:00,CENTRL,1683,10
1/3/2019 5:00,DUNWOD,524,10
1/3/2019 5:00,GENESE,1012,10
1/3/2019 5:00,HUD VL,937,10
1/3/2019 5:00,LONGIL,1868,10
1/3/2019 5:00,MHK VL,757,10
1/3/2019 5:00,MILLWD,266,10
1/3/2019 5:00,N.Y.C.,4695,10
1/3/2019 5:00,NORTH,647,10
1/3/2019 5:00,WEST,1609,10
1/3/2019 6:00,CAPITL,1343,11
1/3/2019 6:00,CENTRL,1846,11
1/3/2019 6:00,DUNWOD,593,11
1/3/2019 6:00,GENESE,1109,11
1/3/2019 6:00,HUD VL,1028,11
1/3/2019 6:00,LONGIL,2069,11
1/3/2019 6:00,MHK VL,842,11
1/3/2019 6:00,MILLWD,298,11
1/3/2019 6:00,N.Y.C.,5154,11
1/3/2019 6:00,NORTH,679,11
1/3/2019 6:00,WEST,1732,11
1/3/2019 7:00,CAPITL,1418,12
1/3/2019 7:00,CENTRL,1947,12
1/3/2019 7:00,DUNWOD,652,12
1/3/2019 7:00,GENESE,1178,12
1/3/2019 7:00,HUD VL,1087,12
1/3/2019 7:00,LONGIL,2203,12
1/3/2019 7:00,MHK VL,892,12
1/3/2019 7:00,MILLWD,322,12
1/3/2019 7:00,N.Y.C.,5617,12
1/3/2019 7:00,NORTH,696,12
